Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
aktivasi-danaid-realypfd.solutions-go-id.rent,0,0,1,0,0,0,0,1,0,0,1,-1,-1,-1,-1,1
le7giornatedibergamo.it,0,0,1,3,0,0,0,0,0,2,0,-1,-1,-1,-1,1
pub-b18717d90fe24c5eaa53e363ce1fc39f.r2.dev,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
ciientaut-h.docusgn-sharedviaoffic3.workers.dev,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
debarghamondal.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
rdenhlq.com,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1
sgvl-2.adminviper7.workers.dev,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
pemulihan-dana-24o.pages.dev,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
tokempockpt.top,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
telegram.qqtax.cn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dallasoptical.com,0,0,1,3,0,0,0,0,0,21,0,-1,-1,-1,-1,1
secure-whats.com,0,0,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1,1
dana-nesdb.golg.site,0,0,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1,1
base-swap-frontend-klt095har-truest422.vercel.app,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1
hello-world-still-feather-74c0.mostafamosavi5570.workers.dev,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
complaint-hotel-928024.eu,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
